location,parameter,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
San Jose - Jackson S,pm25,US,San Jose-Sunnyvale-Santa Clara,00:00.0,37.3483,-121.8947,6.166666667
San Jose - Knox Ave,pm25,US,San Jose-Sunnyvale-Santa Clara,00:00.0,37.338202,-121.849892,9.25
San Luis Obispo - Hi,pm25,US,SAN LUIS OBISPO,00:00.0,35.25651,-120.6693,9.214285714
San Pablo - Rumrill,pm25,US,San Francisco-Oakland-Fremont,00:00.0,37.9604,-122.3571,9.75
San Rafael,pm25,US,San Francisco-Oakland-Fremont,00:00.0,37.9722,-122.5189,4.75
Sandpoint U of I,pm25,US,BONNER,00:00.0,48.291821,-116.556557,9.214285714
Santa Barbara,pm25,US,Santa Barbara-Santa Maria,00:00.0,34.42775,-119.69091,7.857142857
Santa Clarita,pm25,US,Los Angeles-Long Beach-Santa Ana,00:00.0,34.3833,-118.5283,12.29285714
Santa Fe Airport,pm25,US,Santa Fe,00:00.0,35.6198,-106.0797,6.363636364
Santa Maria - Broadw,pm25,US,Santa Barbara-Santa Maria,00:00.0,34.942872,-120.435611,12.71428571
Santa Teresa,pm25,US,Las Cruces,00:00.0,31.7878,-106.6828,14.72727273
Scranton,pm25,US,Scranton--Wilkes-Barre,00:00.0,41.4428,-75.6231,4.642857143
Seabrook Friendship,pm25,US,Houston-Sugar Land-Baytown,00:00.0,29.5831,-95.0156,9.169230769
Seattle-10th & Welle,pm25,US,Seattle-Tacoma-Bellevue,00:00.0,47.597222,-122.319722,6.75
Seattle-Beacon Hill,pm25,US,Seattle-Tacoma-Bellevue,00:00.0,47.568236,-122.308628,5.378571429
Seattle-Duwamish,pm25,US,Seattle-Tacoma-Bellevue,00:00.0,47.562,-122.3405,9.642857143
Seattle-South Park,pm25,US,Seattle-Tacoma-Bellevue,00:00.0,47.5309,-122.3208,8.4
Seeley Elementary Sc,pm25,US,MISSOULA,00:00.0,47.17563,-113.476182,19.77692308
Seiling,pm25,US,DEWEY,00:00.0,36.1589,-98.9353,4.7
Sequoia and Kings Ca,pm25,US,Visalia-Porterville,00:00.0,36.489399,-118.826897,20.14285714
Shady Cove - Shady C,pm25,US,Medford,00:00.0,42.623225,-122.810158,5.192857143
Shakopee,pm25,US,Minneapolis-St. Paul-Bloomington,00:00.0,44.789398,-93.512497,11.28571429
Sheffield Elementary,pm25,US,Jacksonville,00:00.0,30.4758,-81.5869,2.961538462
Shelton-W Franklin,pm25,US,Shelton,00:00.0,47.213551,-123.100807,7.835714286
Shenandoah NP,pm25,US,MADISON,00:00.0,38.5231,-78.4347,3.907142857
Shreveport Airport,pm25,US,Shreveport-Bossier City,00:00.0,32.5364,-93.7492,8.2
Shuttlesworth,pm25,US,Birmingham-Hoover,00:00.0,33.565278,-86.796389,8.4
Sidney 201,pm25,US,RICHLAND,00:00.0,47.8679,-104.676864,2.48
Simi Valley - Cochra,pm25,US,Oxnard-Thousand Oaks-Ventura,00:00.0,34.2775,-118.6847,9.461538462
Sioux Falls,pm25,US,MINNEHAHA,00:00.0,43.54792,-96.700768,5.507142857
Sisters Forest Servi,pm25,US,DESCHUTES,00:00.0,44.2921,-121.5555,3.671428571
Sloughhouse,pm25,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.494475,-121.211131,9.5
Smithfield,pm25,US,CACHE,00:00.0,41.842778,-111.85194,5.978571429
Socorro Hueco C49,pm25,US,El Paso,00:00.0,31.66752,-106.28774,8.042857143
South DeKalb,pm25,US,Atlanta-Sandy Springs-Marietta,00:00.0,33.6906,-84.2731,14.76
South Long Beach,pm25,US,Los Angeles-Long Beach-Santa Ana,00:00.0,33.792221,-118.175278,21.53571429
South Pass,pm25,US,Riverton,00:00.0,42.5275,-108.7203,0.818181818
South Phoenix,pm25,US,Phoenix-Mesa-Scottsdale,00:00.0,33.4033,-112.0731,16.81428571
South Valley,pm25,US,Albuquerque,00:00.0,35.0186,-106.651901,24.33571429
Spanish Fork,pm25,US,Provo-Orem,00:00.0,40.136398,-111.660202,7.3
Spanish Springs,pm25,US,Reno-Sparks,00:00.0,39.621462,-119.718738,8.214285714
Sparks,pm25,US,Reno-Sparks,00:00.0,39.54092,-119.746764,15
Spokane-Augusta Ave,pm25,US,Spokane,00:00.0,47.672501,-117.364899,8.714285714
Spokane-E Broadway A,pm25,US,Spokane,00:00.0,47.663963,-117.257652,8.214285714
Spokane-Monroe St.,pm25,US,Spokane,00:00.0,47.6997,-117.4263,11.20714286
Springfield Ag,pm25,US,SANGAMON,00:00.0,39.831921,-89.644164,23.42142857
Springfield City Hal,pm25,US,Eugene-Springfield,00:00.0,44.046683,-123.017736,8.807142857
Springfield PM,pm25,US,Springfield,00:00.0,39.92882,-83.80949,22.60714286
Springville,pm25,US,TULARE,00:00.0,36.1358,-118.8108,15.69285714
Spruce Pine,pm25,US,MITCHELL,00:00.0,35.912487,-82.062082,9.285714286
St. Andrews Park,pm25,US,Panama City-Lynn Haven,00:00.0,30.128901,-85.738098,9.111111111
St. Cloud,pm25,US,Minneapolis-St. Paul-Bloomington,00:00.0,45.55,-94.1333,9.714285714
St. Joseph,pm25,US,St. Joseph,00:00.0,39.741667,-94.858333,9.95
St. Lukes Meridian,pm25,US,Boise City-Nampa,00:00.0,43.600699,-116.347853,20.63636364
St. Maries,pm25,US,BENEWAH,00:00.0,47.3167,-116.570297,22.76923077
St. Marks Wildlife R,pm25,US,Tallahassee,00:00.0,30.0842,-84.1617,3.944444444
St. Michael,pm25,US,Minneapolis-St. Paul-Bloomington,00:00.0,45.2108,-93.6686,9.642857143
St. Paul-Harding H.S,pm25,US,Minneapolis-St. Paul-Bloomington,00:00.0,44.9594,-93.0356,12.28571429
State College,pm25,US,State College,00:00.0,40.8114,-77.8769,7.071428571
Steubenville,pm25,US,Weirton-Steubenville,00:00.0,40.366452,-80.615691,16.67142857
Stockton - Hazelton,pm25,US,Stockton,00:00.0,37.95075,-121.26897,12.92857143
Stuart,pm25,US,MARTIN,00:00.0,27.172459,-80.240692,0.7
Sunnyside-S 16th,pm25,US,YAKIMA,00:00.0,46.32033,-119.9981,17.62857143
Sunrise Acres,pm25,US,Las Vegas-Paradise,00:00.0,36.163962,-115.11393,28.14285714
Sweet Home - Fire De,pm25,US,Albany-Lebanon,00:00.0,44.3958,-122.7305,11.07857143
Sycamore,pm25,US,Cincinnati-Middletown,00:00.0,39.2787,-84.36612,21.03571429
TK Gregg,pm25,US,Spartanburg,00:00.0,34.955601,-81.924797,5.72
TOR,pm25,US,PHILADELPHIA,00:00.0,40.054171,-74.985166,12.25714286
TRINITY ST MARKS,pm25,US,Detroit-Warren-Livonia,00:00.0,42.295824,-83.129431,11.175
TROUT LAKE,pm25,US,VILAS,00:00.0,46.0481,-89.6536,3.207692308
Tacoma-Alexander Ave,pm25,US,Seattle-Tacoma-Bellevue,00:00.0,47.2656,-122.3858,7.566666667
Tacoma-L St,pm25,US,Seattle-Tacoma-Bellevue,00:00.0,47.1864,-122.4517,8.5
Tacoma-S 36th St,pm25,US,Seattle-Tacoma-Bellevue,00:00.0,47.22634,-122.46256,8.461538462
Taft,pm25,US,Cincinnati-Middletown,00:00.0,39.12886,-84.50404,22.26428571
Tahoe City,pm25,US,PLACER,00:00.0,39.166,-120.1488,2.583333333
Taholah-Quinault Tri,pm25,US,Aberdeen,00:00.0,47.339802,-124.291801,3.623076923
Tallahassee Communit,pm25,US,Tallahassee,00:00.0,30.4397,-84.3483,4.022222222
Taos Fire Station,pm25,US,Taos,00:00.0,36.3833,-105.5833,11
Temecula (Lake Skinn,pm25,US,Riverside-San Bernardino-Ontario,00:00.0,33.583099,-117.072197,12.76153846
Tempe,pm25,US,Phoenix-Mesa-Scottsdale,00:00.0,33.4124,-111.9347,7.607142857
The Dalles - Cherry,pm25,US,City of The Dalles,00:00.0,45.602419,-121.203387,6.057142857
Thibodaux,pm25,US,Houma-Bayou Cane-Thibodaux,00:00.0,29.7639,-90.7653,9.833333333
Thompson Falls HS,pm25,US,SANDERS,00:00.0,47.594395,-115.323746,29.49230769
Thousand Oaks - Moor,pm25,US,Oxnard-Thousand Oaks-Ventura,00:00.0,34.21,-118.8694,12.92857143
Timpanogos Cave,pm25,US,UTAH,00:00.0,40.44194,-111.71341,3.142857143
Tioga County,pm25,US,TIOGA,00:00.0,41.6447,-76.9392,4.771428571
Toll,pm25,US,Reno-Sparks,00:00.0,39.399841,-119.739606,4
Tonawanda II,pm25,US,ERIE,00:00.0,42.9981,-78.8993,5.722222222
Toppenish-Yakama Tri,pm25,US,Yakima,00:00.0,46.380199,-120.332603,17.42857143
Towanda,pm25,US,BRADFORD,00:00.0,41.705226,-76.512726,4.535714286
TracyAP,pm25,US,Stockton,00:00.0,37.6825,-121.4406,6.307692308
Tramway,pm25,US,Albuquerque,00:00.0,35.185,-106.5077,7.628571429
Tranquillity,pm25,US,FRESNO,00:00.0,36.6324,-120.3822,5.769230769
Trenton,pm25,US,Augusta-Richmond County,00:00.0,33.7397,-81.8536,6.97
Triple Oak - Near Ro,pm25,US,Raleigh-Cary,00:00.0,35.8652,-78.8197,9.785714286
Troost,pm25,US,Kansas City,00:00.0,39.10465,-94.57055,6.491666667
Truckee BAM,pm25,US,Truckee-Grass Valley,00:00.0,39.3386,-120.170303,7.857142857
Tukwila_Allentown,pm25,US,Seattle-Tacoma-Bellevue,00:00.0,47.498535,-122.278385,7.876923077
Tulalip-Totem Beach,pm25,US,Seattle-Tacoma-Bellevue,00:00.0,48.065339,-122.285194,1.278571429
Tulsa,pm25,US,Tulsa,00:00.0,36.206699,-95.976402,21.8
Turlock - S. Minaret,pm25,US,Modesto,00:00.0,37.4883,-120.8358,15.61538462
Twin Falls PM25,pm25,US,TWIN FALLS,00:00.0,42.565089,-114.494717,8.285714286
Twisp-Glover St,pm25,US,CHELAN,00:00.0,48.3645,-120.1211,10.12142857
UC1,pm25,US,UNION,00:00.0,42.751518,-96.707208,5.392307692
Ukiah Library,pm25,US,MENDOCINO,00:00.0,39.150478,-123.206528,3.166666667
Underhill,pm25,US,Burlington-South Burlington,00:00.0,44.528389,-72.868973,2.464285714
Uniontown,pm25,US,Pittsburgh,00:00.0,39.917663,-79.805499,19.13333333
Unit0269,pm25,US,FS1 - Forest Service,00:00.0,38.979267,-105.352997,4.8
Unit1029,pm25,US,FS1 - Forest Service,00:00.0,41.728574,-122.521505,15.93333333
United Ave,pm25,US,Atlanta-Sandy Springs-Marietta,00:00.0,33.7206,-84.3578,12.02307692
Upland,pm25,US,Riverside-San Bernardino-Ontario,00:00.0,34.10366,-117.629096,21.32857143
Utica,pm25,US,Utica-Rome,00:00.0,43.0994,-75.225,3.15
V_VIEW,pm25,US,Miami-Fort Lauderdale-Miami Beach,00:00.0,26.0732,-80.3386,1.714285714
Vacaville,pm25,US,Vallejo-Fairfield,00:00.0,38.3525,-121.9617,7.333333333
Vallejo,pm25,US,Vallejo-Fairfield,00:00.0,38.102507,-122.237976,1
Vancouver-NE 84th Av,pm25,US,CLARK,00:00.0,45.64336,-122.58737,20.42857143
Vernal #4,pm25,US,UINTAH,00:00.0,40.464722,-109.56083,4.6
Victorville - Park A,pm25,US,Riverside-San Bernardino-Ontario,00:00.0,34.51,-117.3306,16.85714286
Viking Lake State Pa,pm25,US,MONTGOMERY,00:00.0,40.970001,-95.044998,8
Virginia,pm25,US,ST. LOUIS,00:00.0,47.5212,-92.5393,3.785714286
Visalia - N. Church,pm25,US,Visalia-Porterville,00:00.0,36.33252,-119.29095,35.5
W Greenwich,pm25,US,Providence-New Bedford-Fall River,00:00.0,41.615,-71.7197,2.8
W OWEN SCH,pm25,US,Fayetteville,00:00.0,35.041416,-78.953112,7
WARE,pm25,US,Springfield,00:00.0,42.298302,-72.334396,5.071428571
WATSON,pm25,US,Louisville,00:00.0,38.0608,-85.8961,32.09285714
WAUKESHA - CLEVELAND,pm25,US,Milwaukee-Waukesha-West Allis,00:00.0,43.0203,-88.215,17.12142857
WAVELAND,pm25,US,Gulfport-Biloxi,00:00.0,30.3008,-89.395798,10.86428571
WHlthDpt,pm25,US,Wichita,00:00.0,37.7011,-97.3139,3.257142857
WIND CAVE,pm25,US,CUSTER,00:00.0,43.557613,-103.483658,2.063636364
WY/KC,pm25,US,Kansas City,00:00.0,39.1175,-94.6356,11.8
WYLAM,pm25,US,Birmingham-Hoover,00:00.0,33.4997,-86.9242,9.535714286
Waco C1037,pm25,US,Waco,00:00.0,31.6531,-97.0706,16.70714286
Walla Walla-12th St,pm25,US,Walla Walla,00:00.0,46.0588,-118.3514,4.221428571
Ward,pm25,US,SUMTER,00:00.0,32.36253,-88.27792,12.47142857
Warner Robins,pm25,US,Warner Robins,00:00.0,32.6056,-83.5979,5.4
Waterbury,pm25,US,New Haven-Milford,00:00.0,41.5503,-73.0442,4.85
"Waterloo, Water Towe",pm25,US,Waterloo-Cedar Falls,00:00.0,42.5014,-92.315804,20.85714286
Watertown,pm25,US,CODINGTON,00:00.0,44.89965,-97.128802,6.192857143
Weaverville,pm25,US,TRINITY,00:00.0,40.734722,-122.941109,12.07142857
Wellpinit-Spokane Tr,pm25,US,STEVENS,00:00.0,47.885201,-117.988602,6.735714286
Wenatchee-Fifth St,pm25,US,CHELAN,00:00.0,47.43061,-120.34195,16.56666667
West Duluth,pm25,US,Duluth,00:00.0,46.743889,-92.166946,3.714285714
West Phoenix,pm25,US,Phoenix-Mesa-Scottsdale,00:00.0,33.483799,-112.142601,23.20714286
West Yellowstone Par,pm25,US,GALLATIN,00:00.0,44.657014,-111.089618,1.454545455
Westlake,pm25,US,Lake Charles,00:00.0,30.2625,-93.285,11.57333333
White Plains,pm25,US,New York-Northern New Jersey-Long Island,00:00.0,41.0522,-73.7642,4.207692308
White Springs,pm25,US,HAMILTON,00:00.0,30.4264,-82.7947,2.988888889
White Swan-Yakama Tr,pm25,US,YAKIMA,00:00.0,46.375431,-120.729317,16.58571429
Whiteface Mtn,pm25,US,ESSEX,00:00.0,44.3647,-73.9017,2.264285714
Williams Middle Scho,pm25,US,Florence,00:00.0,34.2143,-79.7673,7.34
Willits Justice Cent,pm25,US,Ukiah,00:00.0,39.411743,-123.352661,2.8
Willows-Colusa,pm25,US,GLENN,00:00.0,39.53387,-122.190834,6.928571429
Winter Park,pm25,US,Orlando-Kissimmee,00:00.0,28.5997,-81.3628,2.683333333
Winthrop-Chewuch Rd,pm25,US,OKANOGAN,00:00.0,48.4772,-120.1906,8.835714286
Woodland,pm25,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.6619,-121.7278,19.91666667
Worcester,pm25,US,Worcester,00:00.0,42.263901,-71.794701,5.285714286
YMCA - Marion County,pm25,US,Ocala,00:00.0,29.170799,-82.1008,3.388888889
YPSILANTI,pm25,US,Ann Arbor,00:00.0,42.24,-83.5997,8.007692308
Yacolt-Yacolt Rd,pm25,US,CLARK,00:00.0,45.863899,-122.410889,6.285714286
Yakima-4th Ave,pm25,US,Yakima,00:00.0,46.594952,-120.512283,22.07142857
Yellowstone- Old Fai,pm25,US,TETON,00:00.0,44.373056,-110.830833,4.714285714
York,pm25,US,York-Hanover,00:00.0,39.9653,-76.6994,10.40714286
Yosemite Village - V,pm25,US,MARIPOSA,00:00.0,37.748707,-119.587094,15.92857143
Youngstown - Head St,pm25,US,Youngstown-Warren-Boardman,00:00.0,41.095938,-80.658467,3.964285714
Youngstown - Laird A,pm25,US,Youngstown-Warren-Boardman,00:00.0,41.23172,-80.80116,8.115384615
Yreka,pm25,US,SISKIYOU,00:00.0,41.72679,-122.63359,5.714285714
Yuba City,pm25,US,Yuba City,00:00.0,39.13868,-121.61884,22.07142857
Yulee,pm25,US,Jacksonville,00:00.0,30.62673,-81.53597,2.166666667
Yuma Supersite,pm25,US,Yuma,00:00.0,32.690277,-114.614441,14.28571429
Zayante Fire Station,pm25,US,Santa Cruz-Watsonville,00:00.0,37.067003,-122.057206,2.071428571
Arden Arcade - Del P,bc,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.613804,-121.368007,0.827586207
Berkeley Aquatic Par,bc,US,ALAMEDA,00:00.0,37.864767,-122.302741,1.256881092
E Providence,bc,US,Providence-New Bedford-Fall River,00:00.0,41.840302,-71.361702,0.397547619
Elkhart-Prairie St.,bc,US,Elkhart-Goshen,00:00.0,41.656944,-85.96833,4.012271186
Evansville-Buena Vis,bc,US,Evansville,00:00.0,38.0133,-87.5772,0.589353741
Gary-IITRI,bc,US,Chicago-Naperville-Joliet,00:00.0,41.6067,-87.3047,0.523777403
HU-Beltsville,bc,US,Washington-Arlington-Alexandria,00:00.0,39.055302,-76.878304,0.492542373
Howard County Near R,bc,US,HOWARD,00:00.0,39.143197,-76.846192,1.158191126
Indpls - I-70 E,bc,US,Indianapolis,00:00.0,39.787933,-86.13088,0.743016667
Indpls-Washington Pa,bc,US,Indianapolis,00:00.0,39.8108,-86.1147,2.070386555
Jeffersonville - Bat,bc,US,CLARK,00:00.0,38.288191,-85.741337,0.587173203
Laney College,bc,US,San Francisco-Oakland-Fremont,00:00.0,37.793624,-122.263376,1.309930435
Livermore - Rincon,bc,US,San Francisco-Oakland-Fremont,00:00.0,37.687526,-121.784217,1.024455782
Near Road,bc,US,Providence-New Bedford-Fall River,00:00.0,41.829495,-71.417457,1.4968
Oakland West,bc,US,San Francisco-Oakland-Fremont,00:00.0,37.8148,-122.282402,0.896636905
Portland Near Road,bc,US,Portland-Vancouver-Beaverton,00:00.0,45.39916,-122.7455,1.574792703
San Jose - Knox Ave,bc,US,San Jose-Sunnyvale-Santa Clara,00:00.0,37.338202,-121.849892,1.312098976
Seattle-10th & Welle,bc,US,Seattle-Tacoma-Bellevue,00:00.0,47.597222,-122.319722,1.478438031
7E Deming Airport,pm10,US,Deming,00:00.0,32.2558,-107.7228,21.45714286
ARNOLD,pm10,US,St. Louis,00:00.0,38.448581,-90.398436,14.22222222
ARNOLD WEST,pm10,US,St. Louis,00:00.0,38.448581,-90.398436,19.2962963
Ajo,pm10,US,PIMA,00:00.0,32.382034,-112.857452,32.57142857
Alamo Lake,pm10,US,LA PAZ,00:00.0,34.243889,-113.558611,15.76315789
Anaheim,pm10,US,Los Angeles-Long Beach-Santa Ana,00:00.0,33.830586,-117.938509,30.84210526
Anthony,pm10,US,Las Cruces,00:00.0,32.0036,-106.5992,70.67741935
Apache Junction,pm10,US,Phoenix-Mesa-Scottsdale,00:00.0,33.42,-111.5042,21.73684211
Atascadero2,pm10,US,San Luis Obispo-Paso Robles,00:00.0,35.494556,-120.666203,20.25641026
Athens,pm10,US,Athens-Clarke County,00:00.0,33.925,-83.3575,20.18181818
Augusta,pm10,US,Augusta-Richmond County,00:00.0,33.4333,-82.0219,6.972972973
Badlands,pm10,US,JACKSON,00:00.0,43.746944,-101.941109,3.75
Bethel,pm10,US,BETHEL,00:00.0,60.79583,-161.767,15.55882353
Bill Stanley,pm10,US,Bishop,00:00.0,36.3619,-118.0108,6
Birney,pm10,US,ROSEBUD,00:00.0,45.366151,-106.48982,4.03030303
Black Hawk,pm10,US,Rapid City,00:00.0,44.155636,-103.315765,19.11111111
Blaine,pm10,US,Minneapolis-St. Paul-Bloomington,00:00.0,45.1425,-93.2139,12.60526316
Boise Fire Station,pm10,US,Boise City-Nampa,00:00.0,43.618889,-116.213611,57.68421053
Boulder,pm10,US,SUBLETTE,00:00.0,42.7186,-109.7531,4.972972973
Boulder City,pm10,US,Las Vegas-Paradise,00:00.0,35.978149,-114.846313,24.75
Branch Street,pm10,US,ST. LOUIS (CITY),00:00.0,38.65643,-90.18977,36.08823529
Brawley - 220 Main S,pm10,US,El Centro,00:00.0,32.978298,-115.5383,61.73684211
Broadus,pm10,US,POWDER RIVER,00:00.0,45.440295,-105.37028,7.108108108
Bronx - IS52,pm10,US,New York-Northern New Jersey-Long Island,00:00.0,40.816101,-73.902199,22.56756757
Buckeye,pm10,US,Phoenix-Mesa-Scottsdale,00:00.0,33.37,-112.6207,74.97368421
Buffalo,pm10,US,Davenport-Moline-Rock Island,00:00.0,41.467201,-90.688301,59.71052632
Bullhead City,pm10,US,Lake Havasu City-Kingman,00:00.0,35.166111,-114.566111,30.59459459
Burbank-Maple Street,pm10,US,Walla Walla,00:00.0,46.2001,-119.0084,18.47222222
Burdens Creek,pm10,US,Durham,00:00.0,35.889402,-78.8747,19.08108108
Butte (Harrison Cour,pm10,US,MATANUSKA-SUSITNA,00:00.0,61.534163,-149.031655,29.83870968
Butte Greely School,pm10,US,SILVER BOW,00:00.0,46.002399,-112.500893,28.05882353
CARTHAGE,pm10,US,Joplin,00:00.0,37.19822,-94.31702,21.77142857
COMBS,pm10,US,Phoenix-Mesa-Scottsdale,00:00.0,33.2192,-111.5608,63.39473684
Calexico - Ethel Str,pm10,US,El Centro,00:00.0,32.67618,-115.48307,142
Cannons Lane,pm10,US,Louisville,00:00.0,38.2286,-85.6544,30.10526316
Carrithers Middle Sc,pm10,US,JEFFERSON,00:00.0,38.1825,-85.5744,32.07894737
Casa Grande Downtown,pm10,US,Phoenix-Mesa-Scottsdale,00:00.0,32.877583,-111.852219,68.07894737
CasaBlanca,pm10,US,PINAL,00:00.0,33.11753,-111.88491,85.85294118
Cataño 40,pm10,US,CATANO,00:00.0,18.428388,-66.141657,20.10526316
Cayce City Hall,pm10,US,Columbia,00:00.0,33.969145,-81.06629,6.8
Cedar Bluff,pm10,US,TREGO,00:00.0,38.7703,-99.7636,8.631578947
Central Phoenix,pm10,US,Phoenix-Mesa-Scottsdale,00:00.0,33.4579,-112.046,54.65789474
Chaparral,pm10,US,Las Cruces,00:00.0,32.0411,-106.4092,26.57142857
Cheney-Turnbull (SO),pm10,US,Spokane,00:00.0,47.416401,-117.5298,4.567567568
Cheyenne NCore,pm10,US,Cheyenne,00:00.0,41.18222,-104.778336,11.78947368
Chico -  East,pm10,US,BUTTE,00:00.0,39.76168,-121.84047,25.16216216
Church,pm10,US,NYE,00:00.0,36.159639,-115.996263,24.26315789
Columbia Falls,pm10,US,FLATHEAD,00:00.0,48.363694,-114.189272,17.72972973
Colusa - Sunrise Blv,pm10,US,COLUSA,00:00.0,39.18919,-121.99887,27.91891892
Colville-E 1st St,pm10,US,STEVENS,00:00.0,48.54469,-117.903222,16.48571429
Converse County Long,pm10,US,CONVERSE,00:00.0,43.1,-105.5,8.769230769
Cornwall,pm10,US,Torrington,00:00.0,41.833099,-73.303299,26.60526316
Coso Junction,pm10,US,Bishop,00:00.0,36.0494,-117.9439,12.81578947
Credit Union,pm10,US,Rapid City,00:00.0,44.087397,-103.273777,28.44444444
DAVIS ISLAND,pm10,US,Tampa-St. Petersburg-Clearwater,00:00.0,27.9283,-82.4547,6.259259259
DEARBORN,pm10,US,Detroit-Warren-Livonia,00:00.0,42.3075,-83.15,13.25
Danbury,pm10,US,Bridgeport-Stamford-Norwalk,00:00.0,41.4014,-73.4447,23.23684211
Daniel South,pm10,US,SUBLETTE,00:00.0,42.7914,-110.0547,6.692307692
Del Norte,pm10,US,Albuquerque,00:00.0,35.1353,-106.584702,35.62162162
Denver - CAMP - 2105,pm10,US,Denver-Aurora,00:00.0,39.751099,-104.987198,45.33333333
Desert View,pm10,US,Las Cruces,00:00.0,31.7961,-106.5839,66.2
Devils Lake,pm10,US,Baraboo,00:00.0,43.4356,-89.6803,22.08108108
Dirty Socks,pm10,US,Bishop,00:00.0,36.3261,-117.9551,11.48484848
Douglas Red Cross,pm10,US,Sierra Vista-Douglas,00:00.0,31.3492,-109.539683,26.73684211
Downtown Sacramento,pm10,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.56844,-121.49311,24.05405405
Durango Complex,pm10,US,Phoenix-Mesa-Scottsdale,00:00.0,33.4265,-112.1181,76.81081081
Durham Armory,pm10,US,Durham,00:00.0,36.032955,-78.904037,12.48648649
Dysart,pm10,US,Phoenix-Mesa-Scottsdale,00:00.0,33.6369,-112.3394,40.05263158
East Hartford,pm10,US,Hartford-West Hartford-East Hartford,00:00.0,41.7847,-72.6297,17.34210526
El Centro - 9th Stre,pm10,US,El Centro,00:00.0,32.7917,-115.5617,66.42105263
El Paso UTEP C12,pm10,US,El Paso,00:00.0,31.768056,-106.501111,31.62857143
El Rio - Rio Mesa Sc,pm10,US,Oxnard-Thousand Oaks-Ventura,00:00.0,34.2653,-119.1336,24.57894737
Elko,pm10,US,ELKO,00:00.0,40.838329,-115.766003,35.18421053
Eloy,pm10,US,PINAL,00:00.0,32.757639,-111.554861,61.05263158
Firearms Training,pm10,US,Louisville,00:00.0,38.23158,-85.82675,30.42105263
Fl. Baptist Children,pm10,US,Lakeland,00:00.0,28.0294,-81.9719,6.892857143
Fort Bragg High Scho,pm10,US,MENDOCINO,00:00.0,39.43734,-123.78766,5.342857143
Fort Independence Me,pm10,US,Bishop,00:00.0,36.8028,-118.1167,11.75675676
Fresno - Garland,pm10,US,FRESNO,00:00.0,36.78538,-119.77321,43.21052632
Front Street,pm10,US,Kansas City,00:00.0,39.13198,-94.53128,56.65714286
Ft McD Yuma Frank-AZ,pm10,US,Phoenix-Mesa-Scottsdale,00:00.0,33.6292,-111.676903,41.83783784
Ft. Collins - CSU Fa,pm10,US,LARIMER,00:00.0,40.571259,-105.079765,12.04761905
G.T.Craig,pm10,US,Cleveland-Elyria-Mentor,00:00.0,41.492191,-81.678552,14.6
GARDINIER,pm10,US,HILLSBOROUGH,00:00.0,27.864273,-82.383359,10.10810811
Gainesville,pm10,US,Gainesville,00:00.0,34.3003,-83.8139,16.375
Gary-IITRI,pm10,US,Chicago-Naperville-Joliet,00:00.0,41.6067,-87.3047,19.51351351
Geronimo,pm10,US,Tucson,00:00.0,32.25,-110.9667,39.73684211
Glen Oaks,pm10,US,NYE,00:00.0,36.193469,-116.007584,25.97222222
Glendale Community C,pm10,US,Phoenix-Mesa-Scottsdale,00:00.0,33.5694,-112.1915,34.28947368
Glendora - Laurel,pm10,US,Los Angeles-Long Beach-Santa Ana,00:00.0,34.1439,-117.8508,31.26315789
Glenpool,pm10,US,Tulsa,00:00.0,35.9525,-96.0033,23.41666667
Goleta,pm10,US,Santa Barbara-Santa Maria,00:00.0,34.445301,-119.827797,8.842105263
Goodland,pm10,US,SHERMAN,00:00.0,39.342801,-101.702996,24.94736842
Green Valley,pm10,US,Tucson,00:00.0,31.8794,-110.9964,18.5
GreenValley,pm10,US,Las Vegas-Paradise,00:00.0,36.048705,-115.052942,38.17857143
Greenville-ESC,pm10,US,Greenville,00:00.0,34.843899,-82.414597,9.7
Groton Fort Griswold,pm10,US,Norwich-New London,00:00.0,41.3536,-72.0789,13.31578947
Gwinnett Tech,pm10,US,Atlanta-Sandy Springs-Marietta,00:00.0,33.9636,-84.0664,14.66666667
HATTIEAVEN,pm10,US,Winston-Salem,00:00.0,36.1106,-80.2267,15.72972973
Hartford-Huntley,pm10,US,Hartford-West Hartford-East Hartford,00:00.0,41.771444,-72.679923,19.26315789
Hayden,pm10,US,GILA,00:00.0,33.006268,-110.786484,18.10810811
Healdton,pm10,US,Ardmore,00:00.0,34.256901,-97.474197,18.16666667
Hesperia - Olive Str,pm10,US,Riverside-San Bernardino-Ontario,00:00.0,34.416506,-117.285602,37.02631579
Hidden Valley,pm10,US,PINAL,00:00.0,32.884761,-112.03705,101.4736842
High School,pm10,US,Phoenix-Mesa-Scottsdale,00:00.0,33.507999,-111.837799,57.16216216
Higley,pm10,US,Phoenix-Mesa-Scottsdale,00:00.0,33.309944,-111.720029,54.78947368
Hillcrest HS,pm10,US,Springfield,00:00.0,37.256069,-93.299692,16.6
Holman Rd,pm10,US,Las Cruces,00:00.0,32.4247,-106.6742,39
Honolulu,pm10,US,Honolulu,00:00.0,21.310301,-157.858093,7.324324324
Horicon Wildlife Are,pm10,US,DODGE,00:00.0,43.46611,-88.621109,19.02777778
